objid,specobjid,u,g,r,i,z_mag,z,zErr,velDisp,snMedian,class,subClass,type,petroR50_r,petroR90_r,q_r,u_r,fracDeV_r,flags,plate,mjd,fiberID,ra,dec
1237658492258615721,1.3387458864103035e+18,20.05131,17.71101,16.45685,15.87185,15.34985,0.1252383,3.529141e-05,231.752,13.80432,GALAXY,,3,3.202019,9.327302,-0.3451713,-0.06299652,0.4871538,35221147881816,1189.0,52668.0,185.0,132.3586617825728,5.814438014938316
1237654605335363755,9.48160868418349e+17,19.06065,17.06586,16.04784,15.54342,15.13062,0.07640617,2.016919e-05,164.479,20.23848,GALAXY,,3,2.469249,7.67273,-0.2945964,0.1652428,0.5806943,103347781632,842.0,52376.0,557.0,182.202004209809,4.930621047238923
1237650803729564298,,23.56991,25.72252,22.10486,20.88534,20.25505,,,,,,,3,3.774697,5.803672,0.3702978,-0.272943,0.1884155,281543964623104,,,,148.9254149431575,-2.7457787973099803
1237651755098112170,5.991222701447188e+17,22.68734,22.32666,22.14021,22.84862,21.87395,0.02483663,7.203264e-06,45.60925,11.77519,GALAXY,STARFORMING,6,0.5940285,0.9776491,-0.01834744,0.08941416,1.0,105622137733136,532.0,51993.0,522.0,212.1621363582728,3.0747463429871678
1237656906346135778,1.2396510257789276e+18,20.2653,18.10169,16.92326,16.35044,15.89246,0.1291349,4.813669e-05,135.7277,7.403058,GALAXY,,3,3.04066,9.290133,-0.2953068,0.2054865,0.9182756,2210096354120,1101.0,52621.0,128.0,339.59848273374,-1.0388840927319531
1237655498674733325,1.0392922408888832e+18,20.80856,18.6311,17.5087,16.92431,16.47451,0.09931006,2.630366e-05,0.0,13.09214,QSO,BROADLINE,3,1.708294,4.737067,-0.2316753,0.2229388,0.8734808,35289867354200,923.0,52404.0,315.0,227.1897256860756,-1.92615771493769
1237680474972947149,6.716104923476679e+18,20.22562,17.8411,16.68522,16.11382,15.65124,0.08866212,1.960443e-05,168.7257,20.3959,GALAXY,,3,2.595441,7.333478,-0.09778686,-0.2374037,0.8416094,2450614387528,5965.0,56190.0,407.0,325.3744534645708,26.92106128611206
1237658423017079046,1.1259453060394783e+18,19.82861,17.69667,16.73464,16.2742,15.89224,0.06924125,2.149052e-05,238.9484,24.17656,GALAXY,,3,1.31035,3.860868,-0.1435339,0.06818102,1.0,68987912448,1000.0,52643.0,165.0,160.34031131750825,6.3325315079754905
1237666226451644596,1.3253585103256556e+18,20.13252,18.13089,17.07741,16.55841,16.14259,0.08272705,2.826107e-05,166.7158,14.79454,GALAXY,,3,1.876044,5.278961,-0.1727091,-0.1503738,0.9508085,68987912192,1177.0,52824.0,634.0,326.7439656806631,-7.466637465611869
1237654880736575640,6.565426166780662e+17,20.0457,18.39,17.49224,17.0472,16.68591,0.1005643,2.766337e-05,134.7263,10.53689,GALAXY,,3,1.924697,5.816867,-0.3033195,0.1132549,0.9985909,35253360136464,583.0,52055.0,520.0,213.8805411613626,4.696355884814766
